p2p_type,num_mix_layers,cover_message_prob,mix_delay,global_precision,global_recall,global_f1_score,target_median,target_std,target_min,target_25%,target_mean,target_75%,target_max
1-to-all,0,0.0,0,100.0,95.23809523809523,97.56097560975608,100.0,0.0,100.0,100.0,100.0,100.0,100.0
1-to-all,0,0.1,0,26.595744680851062,100.0,42.016806722689076,100.0,0.0,100.0,100.0,100.0,100.0,100.0
1-to-all,0,0.2,0,26.262626262626267,100.0,41.60000000000001,100.0,0.0,100.0,100.0,100.0,100.0,100.0
1-to-all,0,0.3,0,25.252525252525253,96.15384615384616,39.99999999999999,100.0,0.0,100.0,100.0,100.0,100.0,100.0
1-to-all,1,0.0,0,100.0,100.0,100.0,100.0,27.386127875258307,50.0,50.0,80.0,100.0,100.0
1-to-all,1,0.1,0,21.50537634408602,95.23809523809523,35.08771929824562,0.0,14.907119849998598,0.0,0.0,6.666666666666666,0.0,33.33333333333333
1-to-all,1,0.2,0,23.232323232323232,95.83333333333334,37.39837398373983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-to-all,1,0.3,0,24.242424242424242,100.0,39.02439024390243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-to-all,2,0.0,0,100.0,100.0,100.0,50.0,22.360679774997898,50.0,50.0,60.0,50.0,100.0
1-to-all,2,0.1,0,21.875,100.0,35.8974358974359,33.33333333333333,14.907119849998596,0.0,33.33333333333333,26.666666666666664,33.33333333333333,33.33333333333333
1-to-all,2,0.2,0,21.21212121212121,100.0,34.99999999999999,0.0,14.907119849998598,0.0,0.0,6.666666666666666,0.0,33.33333333333333
1-to-all,2,0.3,0,28.28282828282828,100.0,44.09448818897637,0.0,14.907119849998598,0.0,0.0,6.666666666666666,0.0,33.33333333333333
1-to-all,3,0.0,0,100.0,100.0,100.0,33.33333333333333,36.51483716701107,33.33333333333333,33.33333333333333,59.999999999999986,100.0,100.0
1-to-all,3,0.1,0,28.421052631578945,100.0,44.26229508196721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-to-all,3,0.2,0,23.46938775510204,100.0,38.01652892561983,0.0,18.257418583505537,0.0,0.0,13.333333333333332,33.33333333333333,33.33333333333333
1-to-all,3,0.3,0,18.181818181818183,100.0,30.76923076923077,0.0,14.907119849998598,0.0,0.0,6.666666666666666,0.0,33.33333333333333
gossip,0,0.0,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
gossip,0,0.1,0,23.655913978494624,100.0,38.26086956521739,100.0,0.0,100.0,100.0,100.0,100.0,100.0
gossip,0,0.2,0,18.0,100.0,30.508474576271187,25.0,45.86072499703549,11.11111111111111,14.285714285714285,50.079365079365076,100.0,100.0
gossip,0,0.3,0,24.0,100.0,38.70967741935484,100.0,32.48931448269655,33.33333333333333,50.0,76.66666666666666,100.0,100.0
gossip,1,0.0,0,100.0,100.0,100.0,50.0,27.386127875258307,50.0,50.0,70.0,100.0,100.0
gossip,1,0.1,0,21.875,100.0,35.8974358974359,9.090909090909092,1.8836560973128214,5.88235294117647,8.333333333333332,8.70172311348782,9.090909090909092,11.11111111111111
gossip,1,0.2,0,16.0,100.0,27.586206896551722,6.25,3.7611412893852796,0.0,4.545454545454546,5.697552447552448,7.6923076923076925,10.0
gossip,1,0.3,0,22.0,100.0,36.0655737704918,3.571428571428571,4.645380092823903,0.0,3.225806451612903,4.811827956989248,4.761904761904762,12.5
gossip,2,0.0,0,25.882352941176475,100.0,41.12149532710281,50.0,23.47382389307855,7.142857142857142,7.142857142857142,32.857142857142854,50.0,50.0
gossip,2,0.1,0,27.27272727272727,100.0,42.857142857142854,7.6923076923076925,3.1467257425263124,5.555555555555555,7.6923076923076925,9.18803418803419,12.5,12.5
gossip,2,0.2,0,25.0,100.0,40.0,4.166666666666666,1.611565442570853,3.225806451612903,3.225806451612903,4.385560675883257,4.166666666666666,7.142857142857142
gossip,2,0.3,0,31.0,100.0,47.32824427480916,3.4482758620689653,0.3762583509436308,3.0303030303030303,3.0303030303030303,3.411747894506515,3.7037037037037033,3.8461538461538463
gossip,3,0.0,0,25.0,100.0,40.0,3.225806451612903,25.783526630398008,2.7777777777777777,2.7777777777777777,21.756272401433687,50.0,50.0
gossip,3,0.1,0,24.0,100.0,38.70967741935484,7.6923076923076925,3.5018591849872105,4.0,4.0,7.176923076923077,7.6923076923076925,12.5
gossip,3,0.2,0,22.0,100.0,36.0655737704918,1.694915254237288,1.8261038200732775,0.0,1.5384615384615385,2.010311722176129,1.8181818181818181,5.0
gossip,3,0.3,0,22.0,100.0,36.0655737704918,3.125,0.6566081240247693,1.6129032258064515,2.857142857142857,2.769009216589862,3.125,3.125
